Time A,HEIGHT,lt P(hPa),T (°C),T(°C) DP,RH (%), WF(kts),WD (°),
0,1795,824.7,14.5,10.91,79,0,0,G
60,2100,795.4,12.39,11.28,92,6.33,80,A
159,2611.05,748.4,9.91,8.12,88.4,6.59,118,T
196,2803.85,731.3,11.27,6.06,69.9,6.8,201,T
220,2930.32,720.3,10.41,5.21,70.3,9.88,209,D
251,3098.85,705.9,9.72,5.25,73.6,9.72,169,TU
266,3168.39,700,10.06,5.79,73.7,11.51,156,S
295,3303.68,688.7,10.45,-0.31,47.5,12.55,146,U
326,3458.23,676.1,10.34,-4.13,35.9,9.15,146,T
355,3600,664.6,9.39,-5.88,33.4,8.05,136,A
397,3775.69,650.6,8.5,-10.11,25.5,10.87,133,U
463,4114.93,624.3,5.26,-8.64,36,15.41,126,F
482,4200,617.8,4.49,-8.17,39.4,14.01,126,A
576,4647.48,584.6,0.75,-9.23,47.1,6.45,124,TU
594,4738.44,578,0.35,-13.72,33.7,5.66,105,F
624,4868.58,568.7,-0.39,-17.98,25.2,8.03,99,U
664,5039.78,556.6,-1.79,-8.99,57.7,10.2,92,U
817,5785.26,506.4,-6.85,-17.54,41.9,18.18,99,U
842,5884.93,500,-6.94,-25.1,21.2,21.52,106,S
864,5979.08,494,-7.1,-30.38,13.6,23.2,110,U
918,6206.75,479.7,-8.7,-18.51,44.9,21.81,103,U
961,6391.5,468.4,-10.2,-20.5,42.7,20.71,96,TU
1029,6684.92,450.9,-9.66,-28.26,20.2,16.76,87,TU
1180,7345.21,413.6,-13.68,-31.46,19.6,29.55,89,T
1205,7451.14,407.9,-13.13,-38.85,9.3,30.52,92,F
1241,7600.48,400,-12.61,-40.14,7.9,24.96,92,S
1272,7731.95,393.2,-12.42,-42.8,5.8,19.52,92,T
1395,8274.95,366,-16.96,-45.88,6,16.67,85,F
1687,9609.1,305,-29.24,-50.18,11.1,22.97,108,D
1713,9725.84,300,-30.36,-50.6,11.7,22.92,107,S
1947,10800,257.1,-40.45,-53.62,22.6,18.84,91,A
1955,10839.78,255.6,-40.83,-53.54,23.7,18.87,91,F
1985,10989.39,250,-42.27,-53.63,27.3,19.98,85,S
2080,11447.81,233.5,-43.6,-59.06,15.9,35.47,77,F
2132,11799.25,221.6,-45.51,-61.5,14.4,25.34,103,T
2196,12247.98,207.1,-48.76,-63.15,16.6,16.09,145,F
2228,12474.66,200,-50.74,-63.86,19,18.99,168,S
2405,13534.26,169.4,-60.25,-63.59,64.5,26.72,213,D
2488,13941.54,158.6,-63.48,-65.48,76.1,29.42,207,TU
2563,14280.62,150,-65.67,-69.45,58.4,29.54,205,S
2583,14368.48,147.8,-66.37,-70.32,56.5,29.67,204,F
2601,14452.28,145.8,-66.97,-71.15,54.5,28.36,206,U
2801,15464.83,122.9,-74.36,-78.89,48.6,3.32,142,F
2813,15521.22,121.7,-74.85,-79.51,47.5,4.06,108,T
2930,16095.62,110.2,-76.89,-81.63,46.1,22.55,119,T
3042,16647.68,100,-81.74,-87.17,38.2,27.71,115,S
3116,17021.36,93.5,-84.14,-89.75,36.1,27.57,93,Tp
3224,17571.1,84.7,-80.13,-83.72,54.6,34.43,61,F
3290,17904.2,79.9,-72.99,-74.66,77.2,31.48,95,U
3340,18145.47,76.8,-63.55,-67.55,56.7,12.77,158,F
3343,18165.01,76.6,-62.87,-67.28,53.5,12.86,167,T
3436,18680.7,70.4,-65.45,-87.31,3.2,16.1,220,Tp
3442,18713.17,70,-65.16,-87.14,3.1,14.96,223,S
3588,19493.49,61.6,-65.67,-85.99,4,24.3,258,F
3712,20158.49,55.1,-67.71,-91.44,1.9,21.95,258,T
3819,20718.78,50.3,-64.35,-91.51,1.2,10.59,298,F
3825,20753.11,50,-64.09,-92.08,1,10.92,303,S
4037,21920.19,41.3,-62.99,-91.54,0,32.63,262,F
4194,22800.06,35.9,-58.21,-88.21,0,27,273,T
4388,23910.57,30,-60.26,-89.64,0,30.06,253,S
4443,24232.47,28.5,-59.82,-89.33,0,27.68,266,B
