Time A,lt ,P(hPa), T(¡C) , DP (¡C),RH (%) ,WF(kts) ,WD (¡)
0,1795,823.6,13.7,9.55,76,0,0
33,1946.24,809,13,12.7,97.9,6.16,144
66,2100,794.4,12.19,11.89,98,3.44,134
161,2593.35,748.8,8.61,8.61,100,4.44,144
225,2892.63,722.3,8.87,6.57,83,1.55,26
287,3153.42,700,11.13,1.49,51.2,6.36,326
341,3400.68,679.5,9.25,2.32,61.2,9.09,325
388,3600,663.4,9.86,-6.99,29.4,2.91,342
395,3631.71,660.9,9.81,-8.27,26.9,2.87,6
451,3903.34,639.5,7.91,-13.85,19.4,10.66,94
516,4200,616.8,5.61,-10.76,29.6,15.41,112
535,4283.08,610.6,4.89,-10.96,30.6,15.96,117
690,4955.83,561.7,-1.04,-8.47,56.9,12.39,78
737,5153.36,548,-1.13,-15.82,32.5,18.77,65
778,5329.6,536,-2.15,-9.29,57.6,21.43,58
839,5593.13,518.4,-3.59,-14.07,44.3,23.4,59
850,5641.68,515.2,-3.84,-14.43,42.3,22.74,59
902,5878.99,500,-3.4,-22.59,20.8,17.93,83
1073,6618.33,455,-6.72,-36.62,7.3,17.63,101
1110,6775.47,445.9,-7.53,-36.46,7.8,15.88,99
1181,7087.38,428.3,-10.12,-31.09,15.9,11.56,94
1298,7609.72,400,-14.5,-35.56,14.7,16.26,115
1428,8225.18,368.5,-19.14,-39.92,13.9,29.26,117
1772,9720.95,300,-30.69,-47.18,17.9,12.03,160
1794,9818.17,295.9,-31.33,-48.25,16.9,9.61,173
1836,10015.39,287.8,-32.48,-50.57,14.4,4.03,171
1960,10618.53,263.9,-37.66,-55.07,14.1,6.84,280
1997,10800,257,-39.37,-55.68,15.6,6.95,288
2036,10988.75,250,-41.12,-56.04,18,4.41,290
2073,11214.86,241.8,-43.24,-56.29,21.9,0.8,349
2234,12178.46,208.9,-52.08,-57.55,51.2,23.03,84
2238,12201.53,208.2,-52.35,-57.66,52,24.33,84
2280,12459.6,200,-53.86,-60.9,40.6,36.33,91
2322,12636.33,194.6,-53.74,-66.52,18.7,44.78,89
2372,12826.88,188.9,-54.63,-65.66,23.9,49.86,87
2377,12847.52,188.3,-54.73,-65.36,25.2,49.79,87
2429,13130.59,180.1,-53.62,-68.54,13.7,33.82,91
2469,13400.13,172.7,-55.9,-70.79,13.3,23.16,96
2610,14199.18,152,-62.86,-74.15,19.7,9.29,47
2623,14280.42,150,-63.6,-74.34,21.2,10.2,37
2762,15154.93,129.7,-70.67,-77,37.9,25.31,336
2769,15190.89,128.9,-70.89,-77.26,37.6,25.55,338
2899,15864.23,114.9,-76.27,-82.97,33.2,24.36,347
2902,15881.08,114.6,-76.36,-83.02,33.3,24.22,348
2999,16357.11,105.5,-76.36,-82.69,35.3,6.76,61
3009,16410.33,104.5,-76.72,-83,35.4,6.81,76
3057,16662.54,100,-78.68,-85.21,32.9,13.63,109
3105,16904.78,95.8,-80.88,-87.8,29.7,18.86,116
3153,17142.51,91.8,-81.76,-88.95,27.9,19.61,100
3215,17475.11,86.5,-83.96,-90.66,29.2,19.98,84
3367,18245.2,75.6,-71.12,-74.7,58.2,33.12,78
3376,18293.2,74.9,-71.22,-74.84,57.6,33.57,75
3453,18699.61,70,-68.16,-76.09,30.3,13.85,97
3497,18929.28,67.4,-66.52,-77.31,19.7,1.96,8
3515,19023.84,66.3,-65.91,-77.39,18,4.47,316
3608,19516.78,61.2,-66.22,-82.4,8.2,28.34,269
3625,19608.19,60.2,-65.62,-82.11,7.9,31.55,271
3728,20172.7,54.8,-69.04,-88.52,4.1,25.63,276
3831,20729.57,50,-66.77,-88.03,3.3,14.81,270
3887,21034.07,47.5,-65.97,-89.69,2.1,13.21,246
3980,21548.47,43.7,-60.18,-89.58,0.9,26.68,249
4032,21842.13,41.7,-59.83,-89.34,0.3,33.29,249
4159,22568.86,37.1,-61.97,-90.83,0,27.14,272
4181,22687.73,36.4,-59.46,-89.08,0,24.25,284
4394,23908,30,-58.33,-88.29,0,34.25,269
4475,24360.53,27.9,-58.08,-88.13,0,43.79,261
4687,25608.95,22.9,-54.14,-85.4,0,20.64,258
